,threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,tpr
0,0.0,246,1672,3854,4,0.33206371191135736,0.06,0.984,0.11310344827586205,0.6974303293521534,0.984
1,0.05,244,3374,2152,6,0.6263850415512465,0.1018363939899833,0.976,0.18442932728647013,0.3894317770539269,0.976
2,0.1,236,4630,896,14,0.8424515235457064,0.20848056537102475,0.944,0.34153400868306805,0.1621425986246833,0.944
3,0.15000000000000002,236,5306,220,14,0.9594875346260388,0.5175438596491229,0.944,0.6685552407932012,0.03981179876945349,0.944
4,0.2,234,5482,44,16,0.989612188365651,0.841726618705036,0.936,0.8863636363636364,0.007962359753890699,0.936
5,0.25,234,5522,4,16,0.9965373961218836,0.9831932773109243,0.936,0.959016393442623,0.0007238508867173362,0.936
6,0.30000000000000004,232,5526,0,18,0.9968836565096952,1.0,0.928,0.9626556016597512,0.0,0.928
7,0.35000000000000003,228,5526,0,22,0.996191135734072,1.0,0.912,0.9539748953974896,0.0,0.912
8,0.4,224,5526,0,26,0.9954986149584487,1.0,0.896,0.9451476793248946,0.0,0.896
9,0.45,214,5526,0,36,0.9937673130193906,1.0,0.856,0.9224137931034483,0.0,0.856
10,0.5,196,5526,0,54,0.9906509695290858,1.0,0.784,0.8789237668161435,0.0,0.784
11,0.55,168,5526,0,82,0.985803324099723,1.0,0.672,0.8038277511961722,0.0,0.672
12,0.6000000000000001,144,5526,0,106,0.9816481994459834,1.0,0.576,0.730964467005076,0.0,0.576
13,0.65,116,5526,0,134,0.9768005540166205,1.0,0.464,0.6338797814207651,0.0,0.464
14,0.7000000000000001,94,5526,0,156,0.9729916897506925,1.0,0.376,0.5465116279069768,0.0,0.376
15,0.75,88,5526,0,162,0.9719529085872576,1.0,0.352,0.5207100591715976,0.0,0.352
16,0.8,78,5526,0,172,0.9702216066481995,1.0,0.312,0.47560975609756095,0.0,0.312
17,0.8500000000000001,76,5526,0,174,0.9698753462603878,1.0,0.304,0.4662576687116564,0.0,0.304
18,0.9,76,5526,0,174,0.9698753462603878,1.0,0.304,0.4662576687116564,0.0,0.304
19,0.9500000000000001,76,5526,0,174,0.9698753462603878,1.0,0.304,0.4662576687116564,0.0,0.304
20,1.0,26,5526,0,224,0.961218836565097,1.0,0.104,0.18840579710144925,0.0,0.104
